     x            y
214.54 177.18939209
282.71 1251.05627441
286.51 726.77801514
327.95 679.25048828
361.66 608.88848877
361.66 608.88848877
395.39 284.64639282
457.74 1000.45336914
457.74 1000.45336914
458.95 827.32061768
545.25 1094.39440918
555.53 390.20651245
568.83 836.78790283
574.46 1228.63085938
594.80 800.34686279
639.00 262.15771484
669.98 676.57440186
697.33 729.05761719
705.25 670.28155518
722.15 693.03424072
722.90 1147.34484863
759.38 260.26986694
759.38 260.26986694
759.38 260.26986694
766.65 671.59167480
780.07 729.87890625
781.44 997.95587158
781.44 997.95587158
797.58 486.85198975
807.35 1119.73303223
812.74 241.65481567
830.17 558.38171387
844.86 656.97412109
853.95 732.05670166
863.50 1054.44287109
880.53 646.13018799
888.36 560.26110840
896.68 724.79907227
900.20 895.01739502
908.88 696.17401123
926.93 1123.53869629
 58.06 207.11552429
 84.52 649.85736084
 87.06 1018.17028809
 93.62 549.07763672
 93.24 597.21301270
109.48 305.60144043
112.55 112.80637360
133.30 564.08886719
161.48 828.81890869
187.07 1242.76464844
203.91 257.92181396
205.23 600.91668701
212.10 1128.65454102
212.10 1128.65454102
240.80 760.60467529
240.80 760.60467529
249.40 1240.68261719
249.40 1240.68261719
287.86 670.55621338
287.86 670.55621338
299.69 600.19989014
308.57 1227.34057617
362.63 558.01672363
363.31 735.69647217
363.31 735.69647217
363.80 664.24359131
363.80 664.24359131
428.85 607.00421143
428.85 607.00421143
455.27 967.04156494
541.44 1216.05163574
556.97 589.34509277
571.44 1137.68432617
579.45 830.06848145
629.66 514.80358887
633.94 666.07922363
640.50 734.52014160
639.67 1259.98657227
657.14 315.09606934
662.80 384.30911255
668.25 446.69210815
667.01 1011.76336670
690.30 260.63995361
691.96 496.82550049
719.66 1039.32031250
723.96 314.29602051
738.12 448.16845703
744.48 495.44839478
746.31 810.92584229
746.31 810.92584229
757.47 602.03161621
757.32 1170.78686523
755.78 1212.64111328
800.74 533.90002441
800.36 961.06268311
816.53 1211.13989258
816.53 1211.13989258
872.77 821.26574707
887.92 1208.64233398
918.76 938.04754639
926.40 1218.66357422
 48.69 683.82788086
 49.87 818.72363281
 79.67 726.98413086
 90.30 447.37133789
 96.60 503.63739014
104.11 312.59552002
111.14 829.20806885
133.69 565.31866455
172.23 535.40576172
219.78 439.69064331
228.84 308.61743164
242.62 698.94891357
242.64 821.33593750
242.64 821.33593750
268.36 268.82177734
268.36 268.82177734
299.30 439.05462646
304.10 308.77130127
385.04 966.36859131
401.87 650.78375244
408.38 234.94052124
425.87 447.73574829
425.87 447.73574829
437.79 963.74896240
472.70 602.63098145
472.70 602.63098145
503.68 810.12097168
543.80 334.89022827
561.85 233.48217773
579.53 287.10043335
623.07 420.09533691
627.39 967.87408447
654.33 824.22515869
667.91 1011.10961914
679.54 598.56085205
713.42 185.75320435
720.05 585.60522461
720.05 585.60522461
742.45 702.64550781
774.55 430.17700195
784.95 823.01342773
805.42 286.54647827
900.54 573.27520752
929.80 1218.36413574
167.72 1023.22552490
179.27 210.26620483
179.27 210.26620483
199.48 796.66528320
251.61 590.47534180
251.61 590.47534180
258.47 489.94915771
290.42 800.33209229
355.89 219.01715088
354.26 1245.00732422
354.26 1245.00732422
427.59 1013.20294189
514.00 578.21691895
513.42 1172.89697266
586.47 1008.05609131
610.73 228.89706421
610.73 228.89706421
626.60 581.45971680
700.98 795.91668701
759.84 219.85998535
759.84 219.85998535
785.63 821.26062012
807.13 1161.63940430
832.41 1009.67419434
468.65 512.55468750
512.57 441.54382324
512.57 441.54382324
683.00 1251.42785645
779.94 1060.15527344
872.30 430.52947998
105.21 1061.90881348
218.98 1083.13671875
218.98 1083.13671875
366.01 734.41790771
374.72 825.78161621
374.72 825.78161621
395.38 934.01049805
553.07 514.93609619
644.31 933.40765381
704.78 938.48382568
 88.16 918.27337646
513.16 1068.81079102
513.16 1068.81079102
644.61 716.59802246
872.85 918.72521973
351.20 1050.75939941
351.20 1050.75939941
498.88 742.18438721
669.00 1048.30773926
475.87 381.11706543
475.87 381.11706543
790.88 812.91619873
190.94 849.69323730
254.85 332.83334351
699.34 333.64419556
